recno,Seq,xpos,ypos,RAJ2000,DEJ2000,SE,isoArea,FKsap,e_FKsap,apcorr,KsR,FKsapD,e_FKsapD,apcorrD,FKsD,e_FKsD,FKsauto,R50,amaj,bmin,Rad,FKsall,e_FKsall,w_FKsall,Fu,e_Fu,w_Fu,FB,e_FB,w_FB,FV,e_FV,w_FV,FR,e_FR,w_FR,Fi,e_Fi,w_Fi,Fz,e_Fz,w_Fz,FJ1,e_FJ1,w_FJ1,FJ2,e_FJ2,w_FJ2,FJ3,e_FJ3,w_FJ3,FHs,e_FHs,w_FHs,FHl,e_FHl,w_FHl,FKs,e_FKs,w_FKs,FJ,e_FJ,w_FJ,FH,e_FH,w_FH,FK,e_FK,w_FK,FKsHI,e_FKsHI,w_FKsHI,F125W,e_F125W,w_F125W,F140W,e_F140W,w_F140W,F160W,e_F160W,w_F160W,F606W,e_F606W,w_F606W,F814W,e_F814W,w_F814W,FY,e_FY,w_FY,F3_6,e_F3_6,w_F3_6,F4_5,e_F4_5,w_F4_5,F5_8,e_F5_8,w_F5_8,F8_0,e_F8_0,w_F8_0,wminOpt,wminHST1,wminfs,wminjhk,wminHST2,wminIRAC,wminAll,Star,Nghb,Use,SNR,zspec,ra,dec
17256,17256,5190.484,4116.224,34.2121201,-5.1451445,2,225.0,7.22602,0.07721,1.073501,2.279742,6.94181,0.07808,1.771907,12.30023,0.13835,15.34556,3.26,3.391,2.971,9.522,16.47346,0.33196,0.7,3.414884367,0.07685,1.0,3.546478548,0.01317,1.0,4.17821966,0.01629,1.0,6.484668784,0.02106,1.0,8.518889778,0.02125,1.0,9.76158,0.05977,1.0,13.55221428,1.12092,0.02,,,0.0,13.95459,1.23513,0.02,,,0.0,20.14075,2.94183,0.01,14.76425145,2.53718,0.04,13.2435,0.16324,1.0,15.71392,0.33426,1.0,18.01161,0.21099,0.96,,,0.0,,,0.0,,,0.0,,,0.0,5.08495653,0.08154,0.98,9.01815,0.08142,1.06,,,0.0,16.100397336,0.14461,0.8,11.12673,0.16407,0.92,1.6971871719,2.93451,1.0,12.44964,4.17027,1.0,1.0,0.0,0.98,0.7,0.0,1.0,0.7,0,0,0,88.90776,,34.2121201,-5.1451445
16795,16795,5357.633,4021.462,34.2051277,-5.1490908,2,390.0,12.78874,0.07892,1.046771,2.62607,11.65983,0.07981,1.771907,20.66013,0.14141,32.08354,3.879,4.142,3.728,11.789,33.58413,0.42673,0.67,0.347841573,0.08828,1.0,0.6791650344,0.0152,1.0,2.22722414,0.01883,1.0,5.10006808,0.02418,1.0,9.89310546,0.02439,1.0,13.85582,0.06872,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,24.01755,0.18807,1.0,31.80564,0.38561,1.0,36.83031,0.24638,0.94,,,0.0,,,0.0,,,0.0,,,0.0,3.33318609,0.0779,1.42,10.72018,0.0837,1.32,,,0.0,30.260549252,0.1522,0.78,19.52403,0.17778,0.93,13.414195797,3.03299,1.0,-0.91769,4.30098,1.0,1.0,0.0,1.32,0.67,0.0,1.0,0.67,0,0,0,146.0992,,34.2051277,-5.1490908
17454,17454,5320.06,4164.721,34.2066994,-5.1431217,0,359.0,6.70679,0.08013,1.042408,3.246752,5.43681,0.08103,1.771907,9.63351,0.14357,20.8894,4.739,4.299,3.914,12.306,21.77528,0.45409,0.65,2.547834234,0.10929,1.0,2.917431288,0.01878,1.0,3.162792055,0.02327,1.0,3.743397072,0.02995,1.0,4.562971539,0.03022,1.0,6.3892,0.085,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,14.48263,0.23241,1.0,20.61171,0.47679,1.0,23.68442,0.30419,0.94,,,0.0,,,0.0,,,0.0,,,0.0,3.643333716,0.08599,1.78,5.2001,0.08644,1.89,,,0.0,31.719632942,0.16962,0.8,35.19099,0.18829,0.95,20.634515868,3.46816,1.0,30.70061,4.84194,1.0,1.0,0.0,1.78,0.65,0.0,1.0,0.65,0,0,0,67.0994,,34.2066994,-5.1431217
17291,17291,5379.032,4169.317,34.2042313,-5.1429296,2,888.0,151.0168,0.08139,1.051736,2.066967,155.5419,0.0823,1.771907,275.6058,0.14583,296.7922,2.879,3.803,3.704,11.26,312.1469,0.41861,0.63,3.051131151,0.06945,1.0,11.99517048,0.01197,1.0,37.053443,0.01483,1.0,73.93470864,0.01905,1.0,153.3785379,0.01921,1.0,244.68459,0.05408,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,406.05148,0.14802,1.0,458.10141,0.30398,1.0,346.0743,0.19495,0.93,,,0.0,,,0.0,,,0.0,,,0.0,51.99303834,0.05515,1.75,187.00354,0.05628,1.8,,,0.0,171.51881822,0.13982,0.81,120.2843,0.15923,0.93,75.839695194,2.86826,1.0,68.51326,4.12071,1.0,1.0,0.0,1.75,0.63,0.0,1.0,0.63,1,0,0,1889.888,,34.2042313,-5.1429296
17521,17521,5180.557,4158.861,34.2125359,-5.1433678,0,138.0,5.09617,0.07777,1.105354,2.028988,5.24221,0.07864,1.771907,9.28871,0.13935,9.35453,2.733,2.738,2.567,7.953,10.34008,0.27781,0.69,10.58322675,0.06841,1.0,15.8473782,0.01172,1.0,20.17274575,0.0145,1.0,21.858248,0.01875,1.0,21.93266901,0.01893,1.0,21.49354,0.0532,1.0,22.86097814,0.9986,0.02,20.20127949,1.24427,0.01,20.25296,0.89713,0.03,18.6292,1.43838,0.03,18.80604,1.84813,0.02,13.69883715,2.01978,0.05,21.71745,0.14531,1.0,19.21924,0.2976,1.0,11.10079,0.18777,0.96,,,0.0,,,0.0,,,0.0,,,0.0,19.88186958,0.07332,0.96,22.02195,0.07316,1.04,,,0.0,5.0803253802,0.13761,0.83,3.31196,0.15272,0.96,6.7606671951,2.91963,1.0,-0.00667,4.21942,1.0,1.0,0.0,0.96,0.69,0.0,1.0,0.69,0,0,0,66.65875,,34.2125359,-5.1433678
17618,17618,5163.868,4192.942,34.2132339,-5.1419477,0,270.0,5.74272,0.07721,1.053584,3.214904,4.1717,0.07808,1.771907,7.39186,0.13835,17.52332,4.568,4.441,3.071,11.079,18.46229,0.39024,0.7,0.5781840471,0.1084,1.0,0.8980244424,0.01857,1.0,1.24685402,0.02297,1.0,1.867832064,0.02973,1.0,2.689579557,0.03,1.0,3.72388,0.08431,1.0,7.519958794,0.91456,0.06,9.253221327,0.80743,0.06,13.13929,1.10066,0.05,16.0367,1.49125,0.07,18.94326,2.06591,0.04,18.45948855,2.15812,0.11,9.84782,0.23031,1.0,16.1696,0.4717,1.0,19.74856,0.29751,0.96,,,0.0,,,0.0,,,0.0,,,0.0,1.437556992,0.11558,0.97,2.96385,0.11541,1.05,,,0.0,36.00268987,0.15998,0.83,45.14391,0.17483,0.97,46.257570291,3.426,1.0,34.65543,4.77781,1.0,1.0,0.0,0.97,0.7,0.0,1.0,0.7,0,0,0,53.42934,,34.2132339,-5.1419477
17751,17751,5095.23,4216.731,34.2161064,-5.1409574,0,219.0,5.91633,0.0741,1.068758,2.463454,5.2111,0.07493,1.771907,9.23359,0.13277,13.63696,3.654,3.351,3.209,9.838,14.5746,0.32975,0.76,2.420349075,0.08306,1.0,2.2904217,0.01423,1.0,2.707333245,0.01758,1.0,3.29027968,0.0228,1.0,4.789856484,0.023,1.0,7.74942,0.06464,1.0,10.313662688,0.36667,0.22,10.125839871,0.29923,0.26,10.92676,0.40168,0.22,11.409,0.56123,0.29,12.68789,0.64223,0.24,15.16412745,1.00161,0.3,10.53539,0.17665,1.0,13.1984,0.36159,1.0,15.20409,0.22332,1.0,11.75878,0.94915,0.1,,,0.0,,,0.0,,,0.0,2.861540232,0.08818,0.98,5.65172,0.08903,1.04,9.031563304,0.30208,0.08,18.204271021,0.15098,0.82,14.56766,0.16349,0.97,2.8997973864,3.21844,1.0,-1.44962,4.58619,1.0,1.0,0.0,0.98,0.76,0.08,1.0,0.76,0,0,1,69.54318,,34.2161064,-5.1409574
17895,17895,5143.131,4265.613,34.2141037,-5.1389198,2,327.0,11.60778,0.07721,1.055944,2.48764,10.4202,0.07808,1.771907,18.46363,0.13835,27.34613,3.691,3.702,3.538,10.857,28.87597,0.3818,0.7,0.690383532,0.0839,1.0,1.0219854348,0.01437,1.0,1.440455535,0.01777,1.0,1.966528032,0.02302,1.0,2.841431145,0.02324,1.0,3.98796,0.06526,1.0,8.737676018,0.61366,0.08,10.89859239,0.46349,0.11,13.03107,0.67284,0.08,18.7875,0.84606,0.13,26.11806,1.12693,0.08,30.5832822,1.30665,0.18,12.54902,0.1783,1.0,22.3599,0.36529,1.0,30.5983,0.23024,0.96,23.19038,1.74677,0.03,,,0.0,,,0.0,,,0.0,1.612471386,0.08852,0.99,3.29109,0.08934,1.05,,,0.0,54.319654854,0.15681,0.74,66.75984,0.16595,0.94,63.192754086,3.39574,1.0,-246.2764,-246.2764,,1.0,0.0,0.99,0.7,0.0,0.0,0.7,0,0,0,133.4576,,34.2141037,-5.1389198
17509,17509,5272.0,4178.521,34.2087097,-5.1425476,0,380.0,20.62205,0.07892,1.05402,2.591913,18.02405,0.07981,1.771907,31.93694,0.14141,50.71112,3.807,3.799,3.563,11.037,53.45056,0.39725,0.67,4.014585615,0.08733,1.0,4.76020332,0.01498,1.0,6.867687585,0.01856,1.0,12.49890128,0.02393,1.0,18.57377151,0.02415,1.0,22.67987,0.0679,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,35.60395,0.18554,1.0,47.81495,0.38042,1.0,58.07258,0.24137,0.95,,,0.0,,,0.0,,,0.0,,,0.0,9.296454726,0.07584,1.46,19.40093,0.07656,1.54,,,0.0,51.081905406,0.14844,0.81,35.45418,0.16983,0.94,46.202023251,3.19121,1.0,18.67427,4.51904,1.0,1.0,0.0,1.46,0.67,0.0,1.0,0.67,0,0,0,225.8437,,34.2087097,-5.1425476
17907,17907,5183.414,4246.849,34.2124176,-5.1397014,0,150.0,4.88079,0.07777,1.097858,2.075236,4.75944,0.07864,1.771907,8.43328,0.13935,9.22596,2.915,2.813,2.694,8.259,10.12879,0.28859,0.69,-0.03391740159,0.06999,1.0,0.10601391636,0.01199,1.0,0.1753547405,0.01484,1.0,0.430834712,0.01919,1.0,0.9402274917,0.01937,1.0,2.20173,0.05442,1.0,5.084617352,1.02172,0.02,1.993366935,1.27591,0.01,6.4281,0.91678,0.03,7.47918,1.79925,0.02,9.63009,2.67061,0.01,8.123980785,1.88634,0.06,5.49313,0.14866,1.0,8.23833,0.30466,1.0,11.07978,0.1921,0.96,,,0.0,,,0.0,,,0.0,,,0.0,0.2794049688,0.07418,0.98,1.22956,0.07444,1.05,,,0.0,15.842366949,0.14477,0.76,12.70307,0.15397,0.92,8.943666987,3.15072,1.0,3.1996,4.38331,1.0,1.0,0.0,0.98,0.69,0.0,1.0,0.69,0,0,0,60.51993,,34.2124176,-5.1397014
